epoch,truth,pred_v22_base,pred_bear_raw,pred_bear_core_a,pred_bear_core_b,pred_bear_core_c,pred_bear_core_a_lite,trigger_bear_raw,trigger_bear_core_a,trigger_bear_core_b,trigger_bear_core_c,trigger_bear_core_a_lite,override_help_class_bear_raw,override_help_class_bear_core_a,override_help_class_bear_core_b,override_help_class_bear_core_c,override_help_class_bear_core_a_lite,override_side_class_bear_raw,override_side_class_bear_core_a,override_side_class_bear_core_b,override_side_class_bear_core_c,override_side_class_bear_core_a_lite,reason_bear_raw,reason_bear_core_a,reason_bear_core_b,reason_bear_core_c,reason_bear_core_a_lite,slow_retention,hinge_torsion,transition_score_v23,ruleb_raw_warning,ruleb_warn_count_3,phase_disagree_count_3,fs_disagree_count_3,fast_alt_3epoch,osc_core_count,osc_core_a,osc_core_b,osc_core_c,fan_width_velocity,fan_energy_total,energy_delta
320810,Bear,Bear,Bear,Bear,Bear,Bear,Bear,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,1.2831363593741116,0.2509115199457944,0,0,0,1,1,1,1,0,0,0,-168.55450955798733,5.570987129091009,3.794147545573651
320811,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,1.7060719943310687,1.0,2,1,1,1,1,1,1,0,0,0,101.22559795553389,3.1121023745563434,-2.4588847545346653
320812,Bull,Bear,Bear,Bear,Bear,Bear,Bear,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.8817165098826081,0.5103042039794373,2,0,1,1,1,0,0,0,0,0,73.58065025665564,2.1453598609277837,-0.9667425136285597
320813,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.3393405718779831,0.6307034968061224,2,0,1,2,2,0,2,1,1,0,-54.50402449547255,1.5440815937727166,-0.6012782671550672
320814,Bull,Bear,Bear,Bear,Bear,Bear,Bear,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,1.0070249452564894,0.1126249702667257,1,0,0,1,1,0,0,0,0,0,83.480454414821,3.0695853551842447,1.525503761411528
320815,Bear,Bull,Bull,Bull,Bull,Bull,Bull,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.3808282554800826,0.3757826857058283,0,0,0,1,1,0,0,0,0,0,-118.41186730797926,1.7331914477745158,-1.3363939074097289
320816,Bull,Bear,Bear,Bear,Bear,Bear,Bear,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.6771685812964279,0.1285043454914948,1,0,0,0,0,1,1,0,0,0,85.98088823442231,1.471996376347306,-0.26119507142720977
320817,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.3211796456816955,1.0,2,0,0,1,1,0,0,0,0,0,-46.56401048331463,1.047744585242981,-0.4242517911043251
320818,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.2334843121861922,0.4436796100865293,0,0,0,1,1,0,0,0,0,0,-74.61218657942663,5.2210996549856645,4.1733550697426836
320819,Bull,Bull,Bull,Bull,Bull,Bull,Bull,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,3.087770745436501,0.3255826004801951,0,0,0,1,1,0,0,0,0,0,-150.74978680477943,10.464165324056012,5.243065669070347
