epoch,truth,pred_v22_base,pred_ruleb_raw,pred_ruleb_persist,pred_ruleb_osc,pred_ruleb_combo,trigger_ruleb_raw,trigger_ruleb_persist,trigger_ruleb_osc,trigger_ruleb_combo,override_help_class_ruleb_raw,override_help_class_ruleb_persist,override_help_class_ruleb_osc,override_help_class_ruleb_combo,reason_ruleb_raw,reason_ruleb_persist,reason_ruleb_osc,reason_ruleb_combo,slow_retention,hinge_torsion,transition_score_v23,ruleb_raw_warning,ruleb_persist_2,ruleb_persist_2of3,ruleb_persist_3of3,ruleb_warn_count_3,fast_alt_3epoch,fs_disagree_count_3,phase_disagree_count_3,polarity_inv_count_3,hinge_flip_count_3,energy_flip_count_3,width_rebound_pattern_3,width_monotonic_collapse_3,oscillation_score_v24,oscillation_warning_v24,fan_width_velocity,fan_energy_total,energy_delta,trigger_reason,trigger_detail
320796,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.2594600727279612,0.2945362245635683,0,0,0,0,0,1,1,1,1,0,0,1,0,0,2,1,83.07793629192747,2.241392335992714,-0.2491283624276548,oscillation,"fast_alt,energy_flip=1"
320798,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.8484325220179016,0.6062292248442006,1,0,0,0,0,0,0,2,1,0,0,2,1,0,3,1,25.735335218545515,1.2761924754559004,-0.9691039582066874,oscillation,"fs_disagree=2,energy_flip=2,width_rebound"
320799,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.7585913377897668,1.0,2,0,0,0,0,0,0,3,2,0,0,3,1,0,4,1,-19.73223380575655,2.115754093083524,0.8395616176276235,oscillation,"fs_disagree=3,phase_cnt=2,energy_flip=3,width_rebound"
320800,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.2438105953806371,0.862768870447019,2,0,0,0,0,0,0,3,2,0,0,3,0,0,3,1,-18.34062871108472,0.5674894515650521,-1.5482646415184718,oscillation,"fs_disagree=3,phase_cnt=2,energy_flip=3"
320801,Bull,Bear,Neutral,Bear,Neutral,Neutral,1,0,1,1,GOOD_NEUTRALIZE_WRONG_BASE,NO_EFFECT,GOOD_NEUTRALIZE_WRONG_BASE,GOOD_NEUTRALIZE_WRONG_BASE,ruleb_raw|slow_retention=1.1463|abs_hinge=0.1827|transition=1,,ruleb_raw|oscillation|fs_disagree=2|phase_cnt=2|polarity_cnt=1|energy_flip=3|osc_score=4,ruleb_raw|oscillation|warn_count_3=1|osc_score=4,1.1462925282048673,0.182722298996748,1,1,0,0,0,1,0,2,2,1,0,3,0,0,4,1,72.12525531474967,3.038645795704724,2.471156344139672,ruleb_raw|oscillation,"fs_disagree=2,phase_cnt=2,polarity_cnt=1,energy_flip=3"
320802,Bear,Bear,Bear,Bear,Bear,Bear,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.3086612595507176,0.3312895733062742,1,0,0,0,0,1,0,1,1,2,0,3,1,0,3,1,-39.69334154140961,1.0475145775253625,-1.9911312181793617,oscillation,"polarity_cnt=2,energy_flip=3,width_rebound"
320803,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.2800415394885931,0.3415149868596454,0,0,0,0,0,1,0,1,0,2,0,2,0,0,2,1,-42.03884364046098,0.720017162262593,-0.32749741526276943,oscillation,"polarity_cnt=2,energy_flip=2"
320804,Bull,Bull,Bull,Bull,Bull,Bull,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.1313161941689031,1.0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,2,1,7.052465893226326,0.9180389460543664,0.19802178379177338,oscillation,"polarity_cnt=1,energy_flip=2"
320805,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.0338752573261444,0.2344770010512946,1,0,0,0,0,0,1,2,1,0,0,2,0,0,3,1,10.008104426015052,0.6958452317740011,-0.22219371428036527,oscillation,"fast_alt,fs_disagree=2,energy_flip=2"
320806,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.3813461123645538,0.2608559160373437,1,0,0,0,0,0,0,1,1,1,0,3,0,0,2,1,21.89608720880642,0.8840657557957456,0.1882205240217445,oscillation,"polarity_cnt=1,energy_flip=3"
320807,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.0787597096932586,0.3923640635274554,1,0,0,0,0,0,0,1,2,1,0,2,0,0,3,1,-34.9912912552536,1.3219596764811286,0.4378939206853829,oscillation,"phase_cnt=2,polarity_cnt=1,energy_flip=2"
320808,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.1985546857740701,0.6822358760915986,2,0,0,0,0,0,0,1,2,1,0,2,1,0,4,1,10.039261304642425,0.7740714313476929,-0.5478882451334357,oscillation,"phase_cnt=2,polarity_cnt=1,energy_flip=2,width_rebound"
320809,Bear,Bear,Bear,Bear,Bear,Bear,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.407987468297506,0.4926178836254632,1,0,0,0,0,0,1,1,2,1,0,2,0,0,4,1,37.81784753994725,1.7768395835173578,1.002768152169665,oscillation,"fast_alt,phase_cnt=2,polarity_cnt=1,energy_flip=2"
